Attack;PSNR;BER_D;BER_U;NC_D;NC_U;attacked_path;wm_D_path;wm_U_path
No_attack;43.633;0.509;0.187;0.652;0.898;results_paper\01_No_attack_attacked.png;results_paper\01_No_attack_wm_D.png;results_paper\01_No_attack_wm_U.png
JPEG_Q70;39.565;0.071;0.416;0.958;0.729;results_paper\02_JPEG_Q70_attacked.png;results_paper\02_JPEG_Q70_wm_D.png;results_paper\02_JPEG_Q70_wm_U.png
Rotation_20deg;39.998;0.566;0.281;0.609;0.833;results_paper\03_Rotation_20deg_attacked.png;results_paper\03_Rotation_20deg_wm_D.png;results_paper\03_Rotation_20deg_wm_U.png
Resize_0.5;38.773;0.466;0.524;0.693;0.638;results_paper\04_Resize_0.5_attacked.png;results_paper\04_Resize_0.5_wm_D.png;results_paper\04_Resize_0.5_wm_U.png
Median_3x3;39.248;0.384;0.521;0.751;0.638;results_paper\05_Median_3x3_attacked.png;results_paper\05_Median_3x3_wm_D.png;results_paper\05_Median_3x3_wm_U.png
Lowpass_filter;37.910;0.439;0.229;0.712;0.870;results_paper\06_Lowpass_filter_attacked.png;results_paper\06_Lowpass_filter_wm_D.png;results_paper\06_Lowpass_filter_wm_U.png
SaltPepper_0.01;24.080;0.438;0.222;0.709;0.874;results_paper\07_SaltPepper_0.01_attacked.png;results_paper\07_SaltPepper_0.01_wm_D.png;results_paper\07_SaltPepper_0.01_wm_U.png
Cropping_25pct;14.922;0.522;0.498;0.635;0.659;results_paper\08_Cropping_25pct_attacked.png;results_paper\08_Cropping_25pct_wm_D.png;results_paper\08_Cropping_25pct_wm_U.png
Brightness_+20pct;27.116;0.413;0.188;0.729;0.897;results_paper\09_Brightness_+20pct_attacked.png;results_paper\09_Brightness_+20pct_wm_D.png;results_paper\09_Brightness_+20pct_wm_U.png
Gamma_0.9;31.973;0.369;0.183;0.760;0.900;results_paper\10_Gamma_0.9_attacked.png;results_paper\10_Gamma_0.9_wm_D.png;results_paper\10_Gamma_0.9_wm_U.png
RowCol_Blanking;22.753;0.432;0.311;0.714;0.811;results_paper\11_RowCol_Blanking_attacked.png;results_paper\11_RowCol_Blanking_wm_D.png;results_paper\11_RowCol_Blanking_wm_U.png
RowCol_Copying;40.837;0.579;0.201;0.593;0.888;results_paper\12_RowCol_Copying_attacked.png;results_paper\12_RowCol_Copying_wm_D.png;results_paper\12_RowCol_Copying_wm_U.png
Bitplane_LSB;42.369;0.250;0.248;0.845;0.856;results_paper\13_Bitplane_LSB_attacked.png;results_paper\13_Bitplane_LSB_wm_D.png;results_paper\13_Bitplane_LSB_wm_U.png
JPEG2000_like;37.035;0.190;0.637;0.885;0.524;results_paper\14_JPEG2000_like_attacked.png;results_paper\14_JPEG2000_like_wm_D.png;results_paper\14_JPEG2000_like_wm_U.png
